,Authority,Event-code,Description ENG
3815,MD,ND4Y,VALIDITY OF SHORT TERM PATENT EXTENDED [FROM 6 TO 10 YEARS]
3847,NL,A1X,A REQUEST FOR ADDITIONAL SEARCH HAS BEEN FILED
3848,NL,A1Y,AN ADDITIONAL SEARCH REPORT HAS BEEN DRAWN UP
3849,NL,A85,STILL PENDING ON 85-01-01
3913,NL,PLEX,LIFTING OF FORMER PLEDGE
3945,NL,RD2P,PATENTS IN RESPECT OF WHICH A DECISION HAS BEEN TAKEN OR A REPORT HAS BEEN MADE (OPPOSITION ACCORD. GENERAL ADMINSTRATIVE LAW WITHDRAWN)
3946,NL,RD2U,OPPOSITION IS FOUND UNREASONED
3961,NL,SPCC,LICENCE OF A SUPPLEMENTARY PROTECTION CERTIFICATE REGISTERED
4074,NO,TB2,AMENDMENT OF EUROPEAN PATENT (B2) VALID IN NORWAY
4093,NZ,PSEA,PATENT SEALED
4152,PL,T3,TRANSLATION OF EP PATENT
4153,PL,T4,TRANSLATION OF AMENDED EP PATENT
4206,PT,SC4A,TRANSLATION IS AVAILABLE
4212,RO,EPE,EP PATENT VALID IN ROMANIA
4250,RU,ND1K,EXTENDING UTILITY MODEL PATENT DURATION
4251,RU,ND4A,EXTENSION OF PATENT DURATION
4291,RU,RH9K,UTILITY MODEL DUPLICATE ISSUE
4326,SE,OPRJ,OPPOSITION REJECTED
4342,SE,SPCH,EXTENSION OF SUPPLEMENTARY PROTECTION CERTIFICATE NOTIFIED
4343,SE,SPCI,CORRECTION [SUPPLEMENTARY PROTECTION CERTIFICATE]
4355,SE,TRCL,SWEDISH TRANSLATION OF THE CLAIMS HAS BEEN FILED
4358,SI,IF,VALID ON THE EVENT DATE
4386,SI,ZPQC,DELETION OF DATA ON LIEN IN THE REGISTER
4408,SK,SPCF,FILING OF AN SPC
4418,SK,SPCZ,EXTENSION OF VALIDITY OF AN SPC
4448,US,355A,"PATENT TERM EXTENSION OR PATENT TERM RESTORATION ACCORDING TO 35 U.S.C. 155, 155A OR 156"
4449,US,356,PATENT TERM EXTENSION UNDER 35 U.S.C. 156
4452,US,946,PATENT TERM EXTENSION PRIVATE LAW 98-46 UNTIL/FOR
4491,US,PEL,PATENT TERM EXTENSION
4503,US,RN,RECISSION OF NOTICE OF PATENT EXPIRATION
4516,US,SULP,SURCHARGE FOR LATE PAYMENT
4546,WO,AK,DESIGNATED STATES
4547,WO,AL,DESIGNATED COUNTRIES FOR REGIONAL PATENTS
4548,WO,AN,ELECTED STATES
4560,WO,EL,FR: TRANSLATION OF CLAIMS FILED
4561,WO,EM,FR: REVISED TRANSLATION OF CLAIMS FILED
4565,WO,ENPZ,FORMER ANNOUNCEMENT OF THE WITHDRAWAL OF THE ENTRY INTO THE NATIONAL PHASE WAS WRONG
4569,WO,GBC,GB: TRANSLATION OF CLAIMS FILED FOR EP (GB SECTION 78(7)/1977)
4570,WO,IECL,IE: TRANSLATION OF CLAIMS FILED FOR EP (IE SECTION 120(6))
4577,WO,REF,CORRESPONDS TO
4579,WO,RET,DE TRANSLATION (DE OG PART 6B)
4580,WO,TCAT,AT: TRANSLATION OF CLAIMS FILED
