,Authority,Event-code,Influence,Description ENG,Description ORI,Event-class,Event-class Description,mapped_status,is_granted
3020,HR,B4IS,,CORRECTED FRONT PAGE OF CONSENSUAL PATENT,ISPRAVAK PREDNJE STRANE KONSENZUALNOG PATENTA,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3021,HR,B5IS,,COMPLETE REPUBLICATION OF CONSENSUAL PATENT,KOMPLETNI REPRINT KONSENZUALNOG PATENTA,Q,DOCUMENT PUBLICATION,PENDING,False
3022,HR,B8IS,,CORRECTED FRONT PAGE OF AN HR-B DOCUMENT,ISPRAVAK PREDNJE STRANE HR-B DOKUMENATA,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3023,HR,B9IS,,COMPLETE REPUBLICATION OF AN HR-B DOCUMENT,KOMPLETNI REPRINT HR-B DOKUMENATA,Q,DOCUMENT PUBLICATION,PENDING,False
3024,HR,BLIC,,DELETION OF A LICENCE,BRISANJE LICENCIJE,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
3025,HR,BOVR,,LEVY OF EXECUTION DELETED,BRISANJE OVRHE,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
3026,HR,C1B1,+,CONVERTED CONSENSUAL PATENT,KONSENZUALNI PATENT KOJI JE PRERASTAO U PRAVI PATENT,F,IP RIGHT GRANT,ALIVE,False
3027,HR,NOST,+,RECOGNITION [IP RIGHT],NOSTRIFIKACIJA,W,OTHER,UNKNOWN,False
3028,HR,NPPO,-,CONTINUED PROCESSING REJECTED,NASTAVAK POSTUPKA ODBACEN,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,UNKNOWN,False
3029,HR,NPPU,,CONTINUED PROCESSING ADOPTED,NASTAVAK POSTUPKA USVOJEN,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,NEUTRAL,False
3030,HR,NPPZ,,CONTINUED PROCESSING,ZAHTJEV ZA NASTAVAK POSTUPKA,T,ADMINISTRATIVE PROCEDURE ADJUSTMENT,NEUTRAL,False
3031,HR,OBST,-,APPLICATION WITHDRAWN,OBUSTAVA PRIJAVE PATENTA,B,APPLICATION DISCONTINUATION,DEAD,False
3032,HR,ODBC,-,APPLICATION REJECTED,ODBACIVANJE PRIJAVE PATENTA,B,APPLICATION DISCONTINUATION,DEAD,False
3033,HR,ODBI,-,APPLICATION REFUSED,ODBIJANJE PRIJAVE PATENTA,B,APPLICATION DISCONTINUATION,DEAD,False
3034,HR,ODRP,+,RENEWAL FEE FOR THE MAINTENANCE OF A PATENT,ODRZAVANJE PATENTA U VRIJEDNOSTI,U,PAYMENT,ALIVE,False
3035,HR,OTEP,-,REQUEST FOR VALIDATION REJECTED/WITHDRAWN,ZAHTJEV ZA VALIDACIJU ODBACEN/OBUSTAVLJEN,W,OTHER,UNKNOWN,False
3036,HR,PB20,-,PATENT EXPIRED AFTER TERMINATION OF 20 YEARS,PRESTANAK VRIJEDNOSTI PATENTA- PROTEK 20 GODINA,H,IP RIGHT CESSATION,DEAD,False
3037,HR,PBKO,-,LAPSE DUE TO NON-PAYMENT OF RENEWAL FEE FOR CONSENSUAL PATENT,PRESTANAK VRIJEDNOSTI KONSENZUALNOG PATENATA ZBOG NEODRZAVANJA,H,IP RIGHT CESSATION,DEAD,False
3038,HR,PBOC,-,PATENT SURRENDERED ENTIRELY,PRESTANAK VRIJEDNOSTI PATENTA ODRICANJEM U CIJELOSTI,H,IP RIGHT CESSATION,DEAD,False
3039,HR,PBON,-,LAPSE DUE TO NON-PAYMENT OF RENEWAL FEE,PRESTANAK VRIJEDNOSTI PATENATA ZBOG NEODRZAVANJA,H,IP RIGHT CESSATION,DEAD,False
3040,HR,PDOP,,PATENT SURRENDERED IN PART,DJELOMICNO ODRICANJE OD PATENATA,M,IP RIGHT MAINTENANCE,NEUTRAL,False
3041,HR,PK10,-,PATENT EXPIRED AFTER TERMINATION OF 10 YEARS FOR CONSENSUAL PATENT,PRESTANAK VRIJEDNOSTI KONSENZUALNOG PATENTA- PROTEK 10 GODINA,H,IP RIGHT CESSATION,DEAD,False
3042,HR,PKB1,+,CONSENSUAL PATENT GRANTED,KONSENZUALNI PATENT PRIZNAT,F,IP RIGHT GRANT,ALIVE,True
3043,HR,PNAN,,"CHANGE OF THE APPLICANT NAME, ADDRESS/RESIDENCE","PROMJENA NAZIVA, ADRESE/SJEDISTA PODNOSITELJA /NOSITELJA PATENTA",R,PARTY DATA CHANGE,NEUTRAL,False
3044,HR,PNEV,-,PATENT REVOKED (EPO),PATENT PROGLASEN NISTAVIM U POSTUPKU PRED EPO-OM,H,IP RIGHT CESSATION,DEAD,False
3045,HR,PPNC,-,DECLARATION OF NULLIFICATION ENTIRELY,PATENT PROGLASEN NISTAVIM U CIJELOSTI,H,IP RIGHT CESSATION,DEAD,False
3046,HR,PPND,,DECLARATION OF NULLIFICATION IN PART,PATENT DJELOMICNO PROGLASEN NISTAVIM,M,IP RIGHT MAINTENANCE,NEUTRAL,False
3047,HR,PPNO,+,PROPOSAL FOR THE DECLARATION OF NULLITY OF A PATENT REJECTED/REFUSED,PRIJEDLOG ZA PROGLASENJE NISTAVIM ODBACEN/ODBIJEN,L,IP RIGHT REVIEW REQUEST,UNKNOWN,False
3048,HR,PPPN,,PROPOSAL FOR THE DECLARATION OF NULLITY OF A PATENT,PRIJEDLOG ZA PROGLASENJE PATENTA NISTAVIM,L,IP RIGHT REVIEW REQUEST,NEUTRAL,False
3049,HR,PPPP,,TRANSFER OF RIGHTS,PRIJENOS PRAVA,R,PARTY DATA CHANGE,NEUTRAL,False
3050,HR,RESO,-,PETITION FOR RESTITUTION IN INTEGRUM REJECTED/REFUSED,POVRAT U PRIJASNJE STANJE ODBACEN/ODBIJEN,C,APPLICATION REVIVAL,PENDING,False
3051,HR,RESP,+,PETITION FOR RESTITUTIO IN INTEGRUM,ZAHTJEV ZA POVRAT U PRIJASNJE STANJE,C,APPLICATION REVIVAL,ALIVE,False
3052,HR,RESU,+,RESTITUTIO IN INTEGRUM ADOPTED,POVRAT U PRIJASNJE STANJE USVOJEN,C,APPLICATION REVIVAL,ALIVE,False
3053,HR,T1PR,+,EP PATENT VALIDATED IN CROATIA,EP PATENT VALIDIRAN U HRVATSKOJ,W,OTHER,ALIVE,True
3054,HR,T2IS,,CORRECTION OF THE TRANSLATIONS OF THE CLAIMS,ISPRAVAK PRIJEVODA PATENTNIH ZAHTJEVA,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3055,HR,T4IZ,,TRANSLATION OF AN AMENDED EP PATENT AFTER OPPOSITION,IZMIJENJENI EUROPSKI PATENT,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3056,HR,T5IS,,CORRECTION OF THE EP SPECIFICATION IN THE CROATIAN LANGUAGE,ISPRAVAK PRIJEVODA EP PATENTNOG SPISA NA HRVATSKI JEZIK,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3057,HR,T8IS,,CORRECTION OF ERRONEOUS FRONT PAGE,ISPRAVAK PRVE STRANE OBJAVE EUROPSKOG PATENTA,P,RE-PUBLICATION OF DOCUMENT AFTER MODIFICATION,PENDING,False
3058,HR,TUEP,,REQUEST FOR EP VALIDATION RECEIVED,UREDAN ZAHTJEV ZA UPIS (PROSIRENOG) EUROPSKOG PATENTA,W,OTHER,NEUTRAL,False
3059,HR,ULIC,,REGISTRATION OF A LICENCE,UPIS LICENCIJE,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
3060,HR,UOVR,,LEVY OF EXECUTION,UPIS OVRHE,S,INFORMATION ON LICENSING AND SIMILAR TRANSACTIONS,NEUTRAL,False
3061,HR,UPPO,-,REESTABLISHMENT OF RIGHTS REJECTED/REFUSED,ZAHTJEV ZA PONOVNU USPOSTAVU PRAVA ODBACEN/ODBIJEN,W,OTHER,UNKNOWN,False
